mean_current,std_current,max,min,peak_to_peak,kurtosis,label
-0.17600000000000002,0.12562570669181597,0.1,-0.5,0.6,-0.2784663871329536,Motor Won't start
-0.19699999999999998,0.15139419414297908,0.3,-0.5,0.8,0.28499979007790577,Motor Won't start
-0.20200000000000007,0.12711245319627715,0.1,-0.6,0.7,0.4213352662996952,Motor Won't start
-0.18900000000000003,0.13990978334179316,0.1,-0.5,0.6,-0.6014817410701885,Motor Won't start
-0.16400000000000003,0.1460040126748978,0.2,-0.4,0.6000000000000001,-0.46296071701802477,Motor Won't start
-0.20499999999999996,0.1533300394903133,0.2,-0.5,0.7,0.385280371405726,Motor Won't start
-0.15000000000000002,0.1283146385438795,0.1,-0.5,0.6,-0.3230080168617566,Motor Won't start
-0.17699999999999996,0.13169830843425606,0.2,-0.6,0.8,0.39753515665634787,Motor Won't start
-0.16900000000000007,0.13758009604693128,0.2,-0.6,0.8,0.6007951055212657,Motor Won't start
-0.18000000000000005,0.13180947376322144,0.1,-0.5,0.6,0.09140075716603535,Motor Won't start
-0.18799999999999997,0.140906158327255,0.2,-0.6,0.8,0.3332915897018478,Motor Won't start
-0.18500000000000003,0.14520970554979643,0.3,-0.5,0.8,0.3319129405858958,Motor Won't start
-0.195,0.15200677815828023,0.2,-0.5,0.7,-0.32404909074621635,Motor Won't start
-0.175,0.1343709624716425,0.1,-0.4,0.5,-0.8210670448432693,Motor Won't start
-0.19200000000000003,0.12607517398341958,0.1,-0.5,0.6,-0.6904490953813673,Motor Won't start
-0.17800000000000007,0.15080926477983486,0.2,-0.6,0.8,0.24233860378586103,Motor Won't start
-0.184,0.13463005803033926,0.1,-0.5,0.6,-0.33505318672109974,Motor Won't start
-0.19600000000000006,0.13920408678547402,0.1,-0.5,0.6,-0.4899523581299676,Motor Won't start
-0.20500000000000004,0.13734495390671028,0.1,-0.5,0.6,-0.5902808019225505,Motor Won't start
-0.159,0.12316942425255985,0.1,-0.4,0.5,-0.7005892321110405,Motor Won't start
1495.4560000000001,1122.856574875622,3200.0,-0.4,3200.4,-1.3737887223498093,normal
1990.576,262.1114521679199,2704.1,1381.8,1322.3,-0.3869316473829625,normal
1971.7120000000002,288.347306117908,2736.2,1368.9,1367.2999999999997,-0.27167841354593225,normal
2020.8820000000005,249.48056719933317,2672.0,1425.4,1246.6,-0.38611407002160947,normal
2030.2649999999996,283.03240181964685,2644.4,1428.1,1216.3000000000002,-0.5650651839783394,normal
2000.2530000000002,272.29267173726544,2663.7,1391.5,1272.1999999999998,-0.4067359068462597,normal
2034.8559999999998,244.55422001939147,2647.1,1566.4,1080.6999999999998,-0.3554771454186061,normal
1965.1930000000002,270.3323656728935,2613.7,1385.9,1227.7999999999997,-0.4302454770023312,normal
2011.057,253.10552726146267,2629.3,1490.9,1138.4,-0.5308388661243857,normal
1982.537,280.91366539392584,2633.7,1394.5,1239.1999999999998,-0.6408192199283542,normal
1998.6579999999997,242.3144064052221,2608.4,1408.0,1200.4,-0.2026046473224894,normal
1991.8120000000001,280.0319008811516,2667.6,1390.0,1277.6,-0.4994935536239167,normal
2007.4260000000002,247.8644557173957,2597.1,1399.5,1197.6,-0.6362264561418378,normal
2040.1859999999997,278.0835929185774,2650.8,1407.4,1243.4,-0.5518704867270157,normal
1960.1070000000004,235.34347443812004,2399.3,1407.0,992.3000000000002,-0.5898509378177863,normal
2056.397,260.5668973041416,2607.7,1400.3,1207.3999999999999,-0.40120342576907,normal
2042.161,237.44431091704152,2649.9,1472.0,1177.9,-0.5241432326121145,normal
1957.7669999999998,259.2875923885805,2599.2,1395.2,1203.9999999999998,-0.4149288941071889,normal
2010.027,252.4647113474626,2649.2,1414.2,1234.9999999999998,-0.32016468745625426,normal
1991.8590000000002,279.5391138656773,2630.7,1391.1,1239.6,-0.5428099048036068,normal
1991.3180000000002,244.73144934599213,2611.5,1400.9,1210.6,-0.3335751855351581,normal
2021.1930000000002,273.81237152289134,2662.8,1397.6,1265.2000000000003,-0.3774477361366584,normal
1973.7210000000005,243.61563752656508,2473.0,1416.5,1056.5,-0.5794253887023353,normal
2026.997,279.7231602040587,2666.4,1425.7,1240.7,-0.6591276369646031,normal
1967.981,246.2131644787221,2650.3,1418.5,1231.8000000000002,-0.1654143621981925,normal
2019.41,256.9839721056391,2635.7,1422.7,1212.9999999999998,-0.5676989107018868,normal
1959.3599999999997,268.7214648229011,2649.6,1406.6,1243.0,-0.4636239362228256,normal
1969.9,243.366017315151,2494.2,1429.1,1065.1,-0.6923843698838481,normal
2044.457,275.34393744896397,2666.1,1399.6,1266.5,-0.3501585608738278,normal
1966.1369999999997,253.8707309067177,2651.7,1403.1,1248.6,-0.34476038356766514,normal
2030.205,257.6067331508369,2666.2,1420.2,1245.9999999999998,-0.3885740459497047,normal
1972.6760000000002,277.68412769137007,2669.2,1392.7,1276.4999999999998,-0.4527480681276881,normal
2005.033,247.14086199509129,2626.8,1400.0,1226.8000000000002,-0.2968586696171247,normal
1972.609,272.41593016762243,2649.3,1395.6,1253.7000000000003,-0.5379606234900498,normal
